customer_id,account_number,account_type,balance,interest_rate,credit_limit
f49327ed-428a-4927-abdd-a5a009c531cd,GB95MDMM86965529696006,Credit,18750.77,4.09,3056.89
d4cb661f-6ad9-436f-85f5-eaa7b5359233,GB52ZEVF84403784576249,Savings,32752.06,2.05,18275.23
19c78e97-63b1-49c0-8ef0-3a70f30be20c,GB04UOBX53854082703003,Savings,28039.81,1.2,17891.39
0c6c5468-a522-451c-8d6f-21c354188284,GB68HMRX11909034195717,Savings,24804.33,4.15,0.0
d4b40026-2b94-43b4-8e42-1dcd795aa47d,GB92ZYTF67074751044667,Credit,31049.56,3.84,8589.22
39a9c606-1e24-4c75-924a-8739208908a6,GB41WFZO84032291144713,Checking,14210.1,4.34,19440.0
3977ce73-b5de-46ef-a60f-499f50d2fedc,GB49BMUW07647809698065,Credit,10307.75,2.21,10786.06
9afd20f5-358b-483f-b8e5-ccc01fc11959,GB92FJTS06389810658805,Savings,4416.89,4.76,0.0
d1ae27f0-8c34-4a2e-85ae-e8f6afaf3160,GB37ZGFZ88740059483213,Credit,45940.19,4.65,18222.73
728fa8d1-1ea9-43b5-b750-4b344544669a,GB05OZOD44658916715909,Savings,44045.53,0.22,11141.58
ec2332a5-5bc6-4f85-bc24-c95ed8a7cb4a,GB13QIVM88763508923615,Checking,44800.86,1.21,2825.92
05745abf-ac32-44ae-a6bf-312dd288dcf6,GB53ZNYK10134390581197,Checking,28145.69,4.39,2571.3
1a221075-ec55-48cb-a8a7-101d96996a73,GB41JJOB32851606929957,Credit,20652.2,3.97,0.0
4d390446-4f59-4a82-ab06-b788bacae335,GB45BNTA31980639877778,Credit,11088.62,2.02,0.0
d3b2dd80-bc70-4ca8-8991-d0dda3dd4042,GB18BBXH96419295002016,Credit,25119.7,1.3,10894.08
2bbbafdc-af91-4c88-8486-0d51169c2e27,GB43CCGL76197627339293,Savings,22485.01,2.61,12479.53
242cb61f-c687-4a53-a4d6-2b7e90113e0c,GB14JSJC06298178057129,Credit,43417.54,4.48,5372.77
1b328b79-11d4-4f61-86f2-966260cc19f0,GB32OOEU13509317718152,Checking,22440.98,0.12,4089.98
3c1689f4-658b-4134-9189-a8d67a51b539,GB13VXON88882644867048,Credit,24025.02,4.27,0.0
28a71ed5-336e-484c-b986-4bc6ea641bf7,GB36LOUH39426681655467,Credit,28009.97,1.5,16834.68
5843743a-edd8-448a-93d0-72084efa4120,GB22ZVOU40159018420920,Checking,44271.52,2.38,0.0
b715dde7-6150-40fb-a1e8-3e7d0dcef75c,GB13OENY95737671763552,Credit,14938.14,3.16,17124.31
5c03ba67-1f4e-479d-8b8f-1a97ca6e7372,GB14CIFB47099571513880,Credit,22567.77,0.57,5533.56
f9ad5d30-9aeb-4434-a3ee-8e8d9071eaa5,GB41JMZH19975417408658,Checking,35682.8,3.43,14970.0
464c7100-7069-4a0d-b07d-8986198642fd,GB02ZPHB74505674061115,Checking,28660.91,3.93,0.0
c1bafebc-c651-47c8-90a2-f1d3dbbb29aa,GB61IKSG02118077587205,Checking,39622.05,4.27,0.0
9d9056c5-7561-444d-85ba-4e6e5498c852,GB64ZKKZ54750843604261,Savings,23627.48,4.73,0.0
8b5724d7-1a52-4bff-b512-68b0b851b4ce,GB02CQVX11741656227003,Savings,44634.94,0.42,11907.59
d88a30a7-50b4-4a93-a435-3432bbb78f4e,GB42MPWP65723774424527,Checking,30012.1,3.04,3926.49
4ac1f879-2778-4022-949e-9013f633a589,GB43BGMB14289816706808,Credit,5225.14,0.78,1852.7
75d27f61-2999-4e2b-a7f2-ee0c596383ed,GB52EBWT93875915543048,Checking,20283.77,3.43,3145.74
d1734c9a-7e77-4412-927b-efdc153a4ff5,GB61YYWE61475127893646,Credit,21138.4,2.51,0.0
80ee6e0c-1044-4b47-a41d-7e203e1df77a,GB23DEWJ41738181908930,Checking,13009.7,1.45,9790.38
25e088af-b371-4aed-ba5a-fdce1763c67d,GB57YRPX77847177458281,Credit,38191.57,1.0,0.0
a3607a6d-8877-4191-bfb3-fce8f49880f9,GB08RVRX57625915657045,Checking,29091.56,4.71,12500.73
25e779e7-d3e6-4c17-a638-e8dab4647da9,GB71BSXY31149337923296,Checking,15286.82,2.84,0.0
5e529fb7-b2d6-4c82-b829-ae10c046912d,GB16XKQF87343375403027,Savings,29084.24,0.37,15514.12
f3e022d2-ca5a-4e49-ab9c-4ba78aa7ff6b,GB04YLDO46125878219744,Savings,23850.73,2.89,1919.35
678dcf50-f739-498c-ac14-748b90bb77d7,GB05JHSJ88178452971617,Savings,23014.2,0.68,19728.43
37e3e1a3-62b2-4259-ae93-43c509bae7ea,GB13OBYW05339916625086,Credit,22461.58,0.58,6946.42
6bc5481a-0981-4d5a-9694-592fd5f5e486,GB78ERCG23646602991562,Credit,29585.78,3.75,0.0
0a7f2ca4-b69a-40f9-a6a4-919e1cf95abd,GB15LFFK58776494381896,Credit,18290.53,4.62,10809.57
6c3345f5-20a0-443a-92e4-19c9ef54f228,GB89TPMV33424232849900,Savings,19945.71,2.54,9657.91
b30b9e29-a5c5-4a8e-aadd-ee4d053a00eb,GB84HBPH04134849597544,Savings,43182.7,1.61,2599.84
2f4681af-ed73-4319-815f-b43b975a2964,GB94EITJ94295155095150,Checking,13035.13,4.32,5069.71
1d08b9c9-c0ce-4c39-b94d-cf89511fe31f,GB68CUWM11082276040881,Savings,22205.94,0.12,19732.06
8c575129-1eec-49c3-9759-e429c341b3a5,GB91UWMF08077556833073,Savings,26615.68,3.16,10569.53
7c579f9f-a9ed-45f9-b35d-77b1eb7d5d4f,GB73JJZZ63145051861076,Credit,20169.69,1.72,6220.84
0b12a261-fe8e-44e4-9fe7-b4066c06f25c,GB36CPOQ08921365236641,Credit,2637.6,1.18,17415.71
b36d3c0c-d7e9-4251-8ca5-0ad18208ec2c,GB68CUUV10346690601648,Credit,2046.89,2.67,15270.54
