customer_id,name,email,phone,address,date_of_birth,account_open_date,customer_status
f49327ed-428a-4927-abdd-a5a009c531cd,Cynthia Mitchell,cynthia.mitchell@gmail.com,933-669-9972,"90936 Sara Wall
Joannshire, MD 80851",1952-10-16,2016-09-01,Active
d4cb661f-6ad9-436f-85f5-eaa7b5359233,Melissa Crosby,melissa.crosby@gmail.com,+1-993-530-2908,"5538 Henry Avenue
Keithfort, WV 79829",1971-05-11,2015-08-09,Active
19c78e97-63b1-49c0-8ef0-3a70f30be20c,Steven Garrett,steven.garrett@gmail.com,001-908-871-4856x6918,"3532 Christopher Extensions Suite 368
Lauratown, ME 68877",1956-12-25,2024-07-18,Inactive
0c6c5468-a522-451c-8d6f-21c354188284,Larry Chavez,larry.chavez@gmail.com,+1-556-874-7252,"03837 Donna Viaduct
Shaffertown, CA 28376",1969-06-02,2018-03-27,Closed
d4b40026-2b94-43b4-8e42-1dcd795aa47d,Spencer Middleton,spencer.middleton@gmail.com,+1-398-920-3689x36451,"7996 Nancy Branch
New Johnny, MD 80698",1938-10-10,2016-04-17,Inactive
39a9c606-1e24-4c75-924a-8739208908a6,Andrew Williams,andrew.williams@gmail.com,(384)649-8893x8108,"Unit 5861 Box 7526
DPO AP 66610",1946-06-14,2017-02-24,Inactive
3977ce73-b5de-46ef-a60f-499f50d2fedc,Andrea Williams,andrea.williams@gmail.com,954.512.8941x32333,"9633 Bobby Ferry
Port Brandon, KS 33849",1944-02-01,2018-10-20,Active
9afd20f5-358b-483f-b8e5-ccc01fc11959,Chelsea Sanchez,chelsea.sanchez@gmail.com,3714486374,"4958 Frank Unions
Vincentborough, MH 30834",1958-03-06,2015-07-26,Closed
d1ae27f0-8c34-4a2e-85ae-e8f6afaf3160,Michael Park,michael.park@gmail.com,(868)250-3693x041,"22141 Carolyn Turnpike
East Jamesport, OR 61586",1982-06-19,2016-05-09,Active
728fa8d1-1ea9-43b5-b750-4b344544669a,Derek Terrell,derek.terrell@gmail.com,728-309-1718x594,"678 Harris Inlet
Lisaland, TN 68703",1942-04-12,2020-01-25,Active
ec2332a5-5bc6-4f85-bc24-c95ed8a7cb4a,Mariah Harris,mariah.harris@gmail.com,001-293-862-9814x04535,"5608 Henderson Circles
Kyleville, TN 29067",1977-09-08,2017-07-01,Inactive
05745abf-ac32-44ae-a6bf-312dd288dcf6,Mathew Campbell,mathew.campbell@gmail.com,4582417397,"943 Estrada Crescent Apt. 919
Torreston, UT 24946",1946-04-02,2015-08-15,Active
1a221075-ec55-48cb-a8a7-101d96996a73,Jessica Anderson,jessica.anderson@gmail.com,+1-971-692-0911x597,"USNV Lee
FPO AA 01104",1938-12-27,2017-12-09,Closed
4d390446-4f59-4a82-ab06-b788bacae335,David Marshall,david.marshall@gmail.com,+1-253-620-5940x175,"09955 Jacob Passage
Garciaport, WY 59012",1981-10-21,2017-04-02,Closed
d3b2dd80-bc70-4ca8-8991-d0dda3dd4042,Crystal Holland,crystal.holland@gmail.com,393-570-9520x74310,"1035 Jones Crossing
Millsfort, MD 94307",1996-03-05,2019-10-17,Active
2bbbafdc-af91-4c88-8486-0d51169c2e27,Mr. Alexander Hendricks Jr.,mr..alexander hendricks jr.@gmail.com,(862)321-2883x532,"PSC 1327, Box 6237
APO AP 51817",1971-06-22,2018-01-28,Active
242cb61f-c687-4a53-a4d6-2b7e90113e0c,Tracey Nichols,tracey.nichols@gmail.com,(488)997-0754x4834,"00153 Harris Spur Suite 846
Stevenland, TN 95876",1991-05-24,2018-12-31,Active
1b328b79-11d4-4f61-86f2-966260cc19f0,Mike Hoffman,mike.hoffman@gmail.com,(430)841-2008,"21900 Bruce Heights
North Scott, NE 04287",1968-05-21,2016-07-04,Active
3c1689f4-658b-4134-9189-a8d67a51b539,Claudia Patterson,claudia.patterson@gmail.com,973-232-9868x54225,"34907 Lee Turnpike
North Anthonychester, WV 16200",1967-01-06,2021-08-30,Closed
28a71ed5-336e-484c-b986-4bc6ea641bf7,Todd George,todd.george@gmail.com,664-349-9389,"18169 Timothy Run Suite 180
Port Joseville, MT 98822",1980-09-15,2021-02-14,Inactive
5843743a-edd8-448a-93d0-72084efa4120,Stephen Mcdonald,stephen.mcdonald@gmail.com,001-741-373-5396x7000,"47008 Heather Drive Suite 442
Kylebury, MT 70021",1953-07-13,2015-05-18,Closed
b715dde7-6150-40fb-a1e8-3e7d0dcef75c,Kelly Oconnor,kelly.oconnor@gmail.com,992-687-8826x204,"34468 Cummings Mountains
Kingfort, SD 21924",1954-11-22,2016-06-15,Active
5c03ba67-1f4e-479d-8b8f-1a97ca6e7372,Maria Combs,maria.combs@gmail.com,572.899.7621x749,"USNV Morgan
FPO AA 15431",1980-05-13,2021-11-18,Active
f9ad5d30-9aeb-4434-a3ee-8e8d9071eaa5,Bradley Bell,bradley.bell@gmail.com,(468)393-0398,"43263 Rodriguez Squares
East Lynnburgh, FM 31116",1960-01-21,2015-06-13,Active
464c7100-7069-4a0d-b07d-8986198642fd,Kristina Dillon,kristina.dillon@gmail.com,772.348.4946x1561,"717 Butler Forges
Rivasland, MI 26474",1952-02-22,2023-10-02,Closed
c1bafebc-c651-47c8-90a2-f1d3dbbb29aa,John Benjamin,john.benjamin@gmail.com,001-213-785-1694x3707,"06318 Kimberly Ville Apt. 926
Cynthiastad, NH 10443",1952-03-05,2018-10-09,Closed
9d9056c5-7561-444d-85ba-4e6e5498c852,Melissa Bailey MD,melissa.bailey md@gmail.com,001-815-428-8206x0519,"7285 Jennifer Extensions
Jimenezstad, TN 10951",1977-03-07,2024-01-12,Closed
8b5724d7-1a52-4bff-b512-68b0b851b4ce,Jesse White,jesse.white@gmail.com,001-517-954-1070x251,"992 Hess Drive Apt. 790
North Monica, HI 95719",1994-09-11,2021-09-30,Active
d88a30a7-50b4-4a93-a435-3432bbb78f4e,April Mcknight,april.mcknight@gmail.com,001-276-709-5257,"054 Matthew Overpass Apt. 540
Hernandezland, NH 83859",2003-06-02,2017-03-13,Inactive
4ac1f879-2778-4022-949e-9013f633a589,Javier Petersen,javier.petersen@gmail.com,(993)992-3486x3798,"775 Richard Valleys Apt. 157
Jasonfurt, ND 66200",1982-04-29,2022-05-22,Active
75d27f61-2999-4e2b-a7f2-ee0c596383ed,Crystal Tran,crystal.tran@gmail.com,001-589-605-1844x123,"2210 Rick Key
Toddfurt, AK 27269",1994-02-15,2022-01-20,Active
d1734c9a-7e77-4412-927b-efdc153a4ff5,Andrew Green,andrew.green@gmail.com,850-993-6785x2880,"337 Brian Forge
New Brandon, SD 63875",1985-01-01,2023-12-11,Closed
80ee6e0c-1044-4b47-a41d-7e203e1df77a,Justin Fisher,justin.fisher@gmail.com,+1-752-691-9223x782,"68401 Glass Station Apt. 638
Port Amber, VI 86457",1985-01-14,2016-01-07,Inactive
25e088af-b371-4aed-ba5a-fdce1763c67d,George Fitzgerald,george.fitzgerald@gmail.com,3169755856,"077 Glenn Bridge Suite 932
North Jameston, MA 15284",1955-06-14,2020-11-15,Closed
a3607a6d-8877-4191-bfb3-fce8f49880f9,Amanda Rivera,amanda.rivera@gmail.com,+1-635-377-0938x251,"942 Chase Fords
Port Isabella, OK 57707",1997-08-20,2021-08-21,Inactive
25e779e7-d3e6-4c17-a638-e8dab4647da9,Jesse Jones,jesse.jones@gmail.com,001-858-230-9133x3282,"83491 Torres Track Suite 498
South Joseph, OH 89871",1990-03-24,2021-08-24,Closed
5e529fb7-b2d6-4c82-b829-ae10c046912d,Diana Drake,diana.drake@gmail.com,001-540-811-8630x8753,"4740 Fitzgerald Points Apt. 273
Lake Brittany, NV 64561",1957-03-15,2015-12-11,Inactive
f3e022d2-ca5a-4e49-ab9c-4ba78aa7ff6b,Jeffrey Nguyen,jeffrey.nguyen@gmail.com,(884)734-0470,"68665 Lisa Avenue Suite 032
Toddview, IN 03431",1982-04-18,2015-11-14,Active
678dcf50-f739-498c-ac14-748b90bb77d7,Daniel Rodriguez,daniel.rodriguez@gmail.com,(558)546-7947,"86504 Johnson Cliff
East Cheryl, MS 63422",1977-11-12,2017-08-28,Active
37e3e1a3-62b2-4259-ae93-43c509bae7ea,Valerie Tanner,valerie.tanner@gmail.com,001-971-254-1990x787,"9450 Jonathan Trafficway Apt. 089
West Kelly, MI 83076",1982-01-02,2020-09-06,Inactive
6bc5481a-0981-4d5a-9694-592fd5f5e486,Michael Reynolds,michael.reynolds@gmail.com,(951)671-0442,"9735 Day Fork
New Lisa, UT 42585",1953-11-15,2020-02-11,Closed
0a7f2ca4-b69a-40f9-a6a4-919e1cf95abd,Angela Ruiz,angela.ruiz@gmail.com,(284)585-5527,"76028 Elizabeth Plains Apt. 005
Lake Anthonyville, PW 06846",1947-11-12,2015-05-31,Inactive
