transaction_id,account_number,transaction_date,transaction_amount,transaction_type,transaction_description,merchant
ff138518-480b-4376-bcd0-2f6f1428691a,GB64ZKKZ54750843604261,2022-12-12 10:19:07,-3002.59,Debit,Bit bank war similar sound.,"Ayala, Gutierrez and Oneal"
8beab1dd-5a00-46f8-a446-da14ecdc9cdc,GB05OZOD44658916715909,2023-06-15 23:06:10,2208.01,Credit,Develop attack support of officer.,Carney and Sons
b1c1cdcd-d558-4e33-b2e0-f1b1995b5893,GB13OENY95737671763552,2023-09-05 11:08:52,2045.73,Debit,Table Democrat two fine.,Ponce-Johnson
eabe2cb6-caba-4b1b-b02a-48d974acb547,GB78VSZH32015044585898,2024-09-12 00:40:11,4196.83,Debit,Suddenly necessary specific worry blue.,Chang and Sons
e9637da5-cd9b-49d1-978b-04056d3467ab,GB49TZUH01800718503242,2023-05-24 04:54:25,4223.45,Credit,Understand notice thank return.,"Rose, Cowan and Young"
6572c613-e643-4d2e-ae38-d9b6fd6cc132,GB22ERVS23266677567091,2023-11-23 06:14:22,5643.16,Debit,Different from pick section your.,Adams-Wade
9cf2272f-6ee6-445a-86ff-ba5d0502386f,GB23DEWJ41738181908930,2023-08-25 03:33:01,3234.92,Debit,Generation significant left that.,Edwards-Nguyen
23e45b42-34e7-46ac-b8cf-94f441060be5,GB36CPOQ08921365236641,2024-05-17 13:06:56,-2465.97,Debit,Act woman heart.,White-Porter
e02c2a82-fb39-498f-8ea5-e7c7d53b08d5,GB61IRBS15201584308133,2023-10-16 12:22:00,5610.33,Debit,Into their story candidate.,Hill-Hendrix
1c2acc25-e399-4ab5-ab9f-00a332e9929a,GB36IROE69472780661562,2023-04-12 12:13:34,8498.34,Debit,For bad current behind national.,"Grant, Cook and Brown"
bed3a535-3bef-4b54-b64d-b6652b2077c6,GB77JSTX84591097986106,2022-12-22 17:51:01,8344.75,Debit,Successful course black.,"Howard, Armstrong and Anderson"
f3135d5e-1667-4050-a7a5-510dd00d58f7,GB64ZKKZ54750843604261,2024-04-17 07:05:39,-3008.89,Credit,Heart record sometimes wear possible.,Maxwell-Thornton
a77cc723-e91e-4a0f-90cb-2ff0bde1434f,GB06VLUX42689568575323,2023-12-16 01:57:40,6444.33,Debit,Early staff available stage crime knowledge.,"Hall, Jimenez and Gonzales"
fe238158-05bc-4600-8910-2dcbdac46b8e,GB66MROT49423375982481,2024-10-17 07:39:56,-3643.13,Credit,Herself employee across.,"Sullivan, Santana and Howard"
36d12155-a3d4-452c-b8b9-ba7aa98e6616,GB61IKSG02118077587205,2024-04-21 17:23:52,-1929.1,Credit,Manager represent crime knowledge bit once.,Taylor-Hawkins
c361073f-4261-465c-afd8-a1567c600d8d,GB03OORG97772682603560,2024-10-06 10:37:28,9162.8,Credit,Court fight home outside thank.,Mata LLC
8476be9c-b09a-4363-a2e5-3fe74eea76d7,GB59UUWP35560591418685,2023-10-03 02:56:35,7781.55,Debit,These discover team very pressure.,Hicks Ltd
